addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"RÁKÓCZI ÚT 2., KŐTELEK, Magyarország, 5062",COOP,,KŐTELEK,Magyarország,,{'@spider': 'coop_dac'},,47.329095,20.442575,804. SZ.  ABC,,,5062,1000695,,https://coop.hu/uzlet/1000695,,https://coop.hu/
"RÁKÓCZI U. 65., KŐVÁGÓSZŐLŐS, Magyarország, 7673",COOP,,KŐVÁGÓSZŐLŐS,Magyarország,,{'@spider': 'coop_dac'},,46.0730808,18.1347898,180 COOP MINI KŐVÁGÓSZŐLŐS,,,7673,1004095,,https://coop.hu/uzlet/1004095,,https://coop.hu/
"PETŐFI U. 74., KRASZNOKVAJDA, Magyarország, 3821",COOP,,KRASZNOKVAJDA,Magyarország,,{'@spider': 'coop_dac'},,48.476887,20.9676763,83. SZ. ABC,,,3821,1002640,,https://coop.hu/uzlet/1002640,,https://coop.hu/
"PETÔFI TÉR 6., KÜBEKHÁZA, Magyarország, 6755",COOP,,KÜBEKHÁZA,Magyarország,,{'@spider': 'coop_dac'},,46.148961,20.27714,740. FÔTÉRI COOP ABC,,,6755,1001589,,https://coop.hu/uzlet/1001589,,https://coop.hu/
"KOSSUTH L. Utca 71., KULCS, Magyarország, 2458",COOP,,KULCS,Magyarország,,{'@spider': 'coop_dac'},,47.053735,18.9185776,127. SZ. ABC,,,2458,1003803,,https://coop.hu/uzlet/1003803,,https://coop.hu/
"RÁKÓCZI U. 51., KUNÁGOTA, Magyarország, 5746",COOP,,KUNÁGOTA,Magyarország,,{'@spider': 'coop_dac'},,46.422897,21.044802,CENTRUM ABC,,,5746,1013963,,https://coop.hu/uzlet/1013963,,https://coop.hu/
"RÁKÓCZI U.13., KUNFEHÉRTÓ, Magyarország, 6413",COOP,,KUNFEHÉRTÓ,Magyarország,,{'@spider': 'coop_dac'},,46.3611403,19.4142182,5. SZ. ÉLELMISZERBOLT,,,6413,1001419,,https://coop.hu/uzlet/1001419,,https://coop.hu/
"RÁKÓCZI ÚT 3-5., KUNHEGYES, Magyarország, 5340",COOP,,KUNHEGYES,Magyarország,,{'@spider': 'coop_dac'},,47.368734,20.632973,910. ABC,,,5340,1007512,,https://coop.hu/uzlet/1007512,,https://coop.hu/
"KARCAGI U. 2-4., KUNMADARAS, Magyarország, 5321",COOP,,KUNMADARAS,Magyarország,,{'@spider': 'coop_dac'},,47.4278921,20.7952138,544. SZ. COOP ABC KUNMADARAS,,,5321,1008580,,https://coop.hu/uzlet/1008580,,https://coop.hu/
"VÖRÖSMARTY U. 1, KUNPESZÉR, Magyarország, 6096",COOP,,KUNPESZÉR,Magyarország,,{'@spider': 'coop_dac'},,47.064752,19.2792587,8. SZ. ÖNKISZOLGÁLÓ BOLT,,,6096,1001872,,https://coop.hu/uzlet/1001872,,https://coop.hu/
"KOSSUTH U. 16., KUNSZÁLLÁS, Magyarország, 6115",COOP,,KUNSZÁLLÁS,Magyarország,,{'@spider': 'coop_dac'},,46.7640203,19.7535908,21. SZ. ÖNKISZOLGÁLÓ BOLT,,,6115,1001406,,https://coop.hu/uzlet/1001406,,https://coop.hu/
